hgnc	chrom	obs_lof	exp_lof
HGNC:10964	chr11	10.0	14.569
HGNC:1701	chr11	1.0	12.437
HGNC:23615	chr11	8.0	14.958
HGNC:13231	chr11	4.0	8.4893
HGNC:25334	chr11	3.0	18.364
HGNC:1437	chr11	3.0	4.5566
HGNC:16421	chr11	4.0	42.612
HGNC:16990	chr11	3.0	10.493
HGNC:9003	chr11	17.0	58.912
HGNC:10386	chr11	1.0	11.205
HGNC:358	chr11	4.0	17.671
HGNC:8068	chr11	5.0	86.395
HGNC:7715	chr11	3.0	10.503
HGNC:11647	chr11	27.0	43.019
HGNC:1937	chr11	6.0	24.738
HGNC:30578	chr11	49.0	65.918
HGNC:17022	chr11	30.0	55.508
HGNC:4655	chr11	4.0	31.426
HGNC:9211	chr11	2.0	11.089
HGNC:9657	chr11	11.0	32.53
HGNC:12726	chr12	64.0	132.96
HGNC:9567	chr12	9.0	10.81
HGNC:19318	chr12	22.0	31.104
HGNC:9249	chr12	35.0	61.755
HGNC:25031	chr12	7.0	53.55
HGNC:1694	chr12	4.0	9.9826
HGNC:9348	chr12	10.0	27.929
HGNC:2053	chr12	4.0	7.6886
HGNC:28722	chr12	10.0	17.828
HGNC:10722	chr12	1.0	2.4526
HGNC:2254	chr12	1.0	22.752
HGNC:100	chr12	5.0	30.521
HGNC:2671	chr12	29.0	23.143
HGNC:21259	chr12	14.0	57.477
HGNC:30795	chr12	11.0	14.097
HGNC:23236	chr12	2.0	15.281
HGNC:10908	chr12	10.0	32.259
HGNC:28973	chr12	2.0	11.545
HGNC:7530	chr12	5.0	19.298
HGNC:16006	chr12	2.0	18.877
HGNC:1470	chr12	8.0	30.692
HGNC:1053	chr12	21.0	31.08
HGNC:15488	chr12	2.0	8.8553
HGNC:830	chr12	2.0	20.368
HGNC:16049	chr12	0.0	12.807
HGNC:19266	chr12	11.0	24.181
HGNC:1004	chr12	4.0	12.622
HGNC:30559	chr12	2.0	28.97
HGNC:2606	chr12	14.0	22.268
HGNC:7566	chr12	5.0	9.2791
HGNC:7565	chr12	7.0	10.718
HGNC:17787	chr12	12.0	14.509
HGNC:6430	chr12	3.0	17.504
HGNC:24723	chr12	25.0	36.725
HGNC:19737	chr12	24.0	67.78
HGNC:4317	chr12	27.0	40.312
HGNC:18583	chr12	4.0	22.766
HGNC:16672	chr12	9.0	26.477
HGNC:6710	chr12	19.0	38.976
HGNC:3325	chr12	4.0	12.809
HGNC:11045	chr12	18.0	32.368
HGNC:16265	chr12	3.0	15.703
HGNC:25504	chr12	2.0	8.4968
HGNC:18083	chr12	29.0	37.424
HGNC:30879	chr12	16.0	25.547
HGNC:3818	chr12	11.0	30.786
HGNC:18020	chr12	2.0	3.0486
HGNC:5188	chr12	2.0	20.807
HGNC:1186	chr12	15.0	19.426
HGNC:706	chr12	3.0	11.355
HGNC:30186	chr12	13.0	19.332
HGNC:14340	chr12	1.0	8.8759
HGNC:3684	chr12	6.0	8.2237
HGNC:7583	chr12	11.0	9.9284
HGNC:16956	chr12	6.0	16.023
HGNC:19347	chr12	6.0	63.192
HGNC:29605	chr12	10.0	21.125
HGNC:373	chr12	7.0	24.886
HGNC:25505	chr12	4.0	6.808
HGNC:6218	chr12	4.0	12.54
HGNC:17909	chr12	7.0	26.193
HGNC:2350	chr12	1.0	8.5335
HGNC:21597	chr12	51.0	59.356
HGNC:404	chr12	18.0	24.393
HGNC:1785	chr12	1.0	7.3601
HGNC:13310	chr12	7.0	14.636
HGNC:25783	chr12	2.0	58.509
HGNC:19716	chr12	7.0	14.178
HGNC:10599	chr12	23.0	35.714
HGNC:6718	chr12	5.0	21.406
HGNC:25823	chr12	16.0	13.259
HGNC:14002	chr12	1.0	5.5331
HGNC:8088	chr12	50.0	49.839
HGNC:8087	chr12	33.0	35.34
HGNC:726	chr12	6.0	11.04
HGNC:7060	chr12	7.0	7.6233
HGNC:9873	chr12	28.0	40.262
HGNC:679	chr12	6.0	9.1079
HGNC:4657	chr12	15.0	22.14
HGNC:3257	chr12	9.0	16.085
HGNC:20085	chr12	17.0	29.332
HGNC:13447	chr12	4.0	26.132
HGNC:26213	chr12	14.0	12.665
HGNC:14369	chr12	22.0	24.101
HGNC:26128	chr12	5.0	10.225
HGNC:12679	chr12	11.0	20.736
HGNC:4039	chr12	8.0	16.721
HGNC:9973	chr12	9.0	20.947
HGNC:3403	chr12	13.0	18.713
HGNC:19893	chr12	30.0	50.118
HGNC:2243	chr12	1.0	13.777
HGNC:29164	chr12	6.0	33.575
HGNC:30688	chr12	1.0	47.095
HGNC:17119	chr12	6.0	8.7692
HGNC:5438	chr12	1.0	5.7678
HGNC:9784	chr12	5.0	13.985
HGNC:29917	chr12	24.0	37.828
HGNC:29914	chr12	26.0	63.292
HGNC:7878	chr12	2.0	33.319
HGNC:11813	chr12	62.0	78.427
HGNC:13871	chr12	1.0	29.078
HGNC:5176	chr12	9.0	21.797
HGNC:14044	chr12	3.0	6.134
HGNC:4141	chr12	4.0	13.718
HGNC:7867	chr12	2.0	37.581
HGNC:1919	chr12	10.0	108.42
HGNC:17195	chr12	20.0	31.121
HGNC:29102	chr12	17.0	61.92
HGNC:16758	chr12	5.0	15.355
HGNC:19423	chr12	5.0	14.237
HGNC:4400	chr12	17.0	18.495
HGNC:14624	chr12	2.0	12.497
HGNC:17852	chr12	9.0	19.021
HGNC:12628	chr12	8.0	45.613
HGNC:12009	chr12	5.0	14.346
HGNC:29670	chr12	39.0	62.034
HGNC:29522	chr12	4.0	9.1449
HGNC:3353	chr12	5.0	22.334
HGNC:3033	chr12	3.0	40.018
HGNC:29521	chr12	6.0	5.1867
HGNC:9658	chr12	1.0	35.842
HGNC:30244	chr12	3.0	28.974
HGNC:30826	chr12	16.0	30.06
HGNC:10961	chr12	33.0	28.537
HGNC:604	chr12	12.0	12.097
HGNC:20857	chr12	1.0	8.5145
HGNC:29545	chr12	8.0	22.419
HGNC:20175	chr12	0.0	6.2844
HGNC:4707	chr12	36.0	42.243
HGNC:6541	chr12	10.0	14.084
HGNC:9378	chr12	6.0	14.051
HGNC:18290	chr12	5.0	24.258
HGNC:24972	chr12	3.0	39.175
HGNC:10869	chr12	3.0	14.708
HGNC:13257	chr12	8.0	11.046
HGNC:29062	chr12	27.0	52.808
HGNC:13203	chr12	9.0	11.797
HGNC:9774	chr12	0.0	11.755
HGNC:3182	chr12	5.0	43.35
HGNC:2277	chr12	4.0	4.5698
HGNC:9985	chr12	2.0	42.719
HGNC:25555	chr12	1.0	24.215
HGNC:10791	chr12	2.0	11.908
HGNC:23098	chr12	8.0	16.56
HGNC:6373	chr12	11.0	12.597
HGNC:2188	chr6	33.0	156.71
HGNC:1140	chr6	25.0	20.814
HGNC:17768	chr6	15.0	20.363
HGNC:3955	chr6	22.0	28.967
HGNC:21144	chr6	8.0	38.284
HGNC:20993	chr6	1.0	12.16
HGNC:21558	chr6	21.0	32.195
HGNC:6816	chr6	30.0	33.756
HGNC:20952	chr6	4.0	6.3169
HGNC:20882	chr6	4.0	17.682
HGNC:4204	chr6	9.0	13.53
HGNC:21401	chr6	3.0	2.7665
HGNC:7733	chr6	9.0	36.064
HGNC:21638	chr6	21.0	42.782
HGNC:21214	chr6	11.0	13.321
HGNC:20995	chr6	1.0	9.7716
HGNC:21484	chr6	28.0	44.017
HGNC:20991	chr6	43.0	62.641
HGNC:10073	chr6	8.0	35.446
HGNC:6821	chr6	8.0	31.269
HGNC:4091	chr6	11.0	20.387
HGNC:13464	chr6	8.0	23.752
HGNC:21078	chr6	9.0	13.197
HGNC:12006	chr6	9.0	12.623
HGNC:18468	chr6	8.0	7.4348
HGNC:21081	chr6	17.0	48.918
HGNC:13872	chr6	9.0	47.87
HGNC:19182	chr6	16.0	55.21
HGNC:17223	chr6	4.0	18.537
HGNC:14893	chr6	10.0	11.078
HGNC:13584	chr6	2.0	19.66
HGNC:21051	chr6	15.0	15.578
HGNC:9235	chr6	0.0	15.691
HGNC:8156	chr6	17.0	19.509
HGNC:3586	chr6	13.0	23.167
HGNC:12423	chr6	11.0	30.074
HGNC:14468	chr6	25.0	41.829
HGNC:6876	chr6	5.0	22.228
HGNC:10006	chr6	7.0	20.242
HGNC:21052	chr6	8.0	18.233
HGNC:17847	chr6	10.0	26.468
HGNC:10785	chr6	0.0	10.287
HGNC:11180	chr6	3.0	10.291
HGNC:14477	chr6	7.0	10.05
HGNC:16404	chr6	3.0	6.552
HGNC:6945	chr6	24.0	44.841
HGNC:10071	chr6	1.0	25.943
HGNC:20990	chr6	0.0	3.2347
HGNC:19267	chr6	7.0	42.294
HGNC:21219	chr6	15.0	37.686
HGNC:13588	chr6	11.0	25.956
HGNC:1703	chr6	5.0	9.8248
HGNC:18302	chr6	78.0	298.28
HGNC:4324	chr6	7.0	30.067
HGNC:21025	chr6	7.0	7.6746
HGNC:1072	chr6	9.0	22.495
HGNC:14078	chr6	2.0	27.02
HGNC:21539	chr6	3.0	8.5882
HGNC:20039	chr6	5.0	25.85
HGNC:21092	chr6	13.0	11.705
HGNC:21091	chr6	27.0	47.836
HGNC:938	chr6	3.0	6.7199
HGNC:14263	chr6	6.0	14.222
HGNC:21256	chr6	5.0	6.2778
HGNC:17371	chr6	14.0	13.435
HGNC:13302	chr6	3.0	11.061
HGNC:18114	chr6	6.0	19.409
HGNC:13601	chr6	17.0	27.785
HGNC:1581	chr6	0.0	20.411
HGNC:13998	chr6	4.0	19.867
HGNC:3115	chr6	2.0	18.015
HGNC:9634	chr6	2.0	7.9509
HGNC:10882	chr6	4.0	36.198
HGNC:18697	chr6	55.0	121.31
HGNC:21095	chr6	3.0	7.5557
HGNC:1152	chr6	11.0	19.263
HGNC:2217	chr6	40.0	63.984
HGNC:2372	chr6	27.0	74.376
HGNC:12732	chr6	1.0	22.053
HGNC:4459	chr6	32.0	51.589
HGNC:408	chr6	14.0	23.361
HGNC:356	chr6	58.0	71.725
HGNC:12705	chr6	11.0	17.496
HGNC:12706	chr6	21.0	19.23
HGNC:20999	chr6	7.0	4.53
HGNC:19651	chr6	2.0	23.847
HGNC:10385	chr6	0.0	7.0418
HGNC:20998	chr6	0.0	12.459
HGNC:922	chr6	8.0	10.647
HGNC:17493	chr6	3.0	9.3949
HGNC:3522	chr6	10.0	37.698
HGNC:29256	chr6	0.0	23.411
HGNC:7973	chr6	0.0	19.194
HGNC:11174	chr6	2.0	7.5168
HGNC:10930	chr6	13.0	22.987
HGNC:4834	chr6	18.0	39.483
HGNC:10059	chr6	15.0	20.707
HGNC:8860	chr6	19.0	19.678
HGNC:21143	chr6	11.0	27.403
HGNC:16873	chr6	52.0	52.814
HGNC:17637	chr6	3.0	8.3586
HGNC:21213	chr6	12.0	95.882
HGNC:17027	chr6	4.0	17.033
HGNC:21041	chr6	3.0	16.033
HGNC:13841	chr6	19.0	59.594
HGNC:20956	chr6	16.0	35.261
HGNC:3413	chr6	9.0	11.708
HGNC:13963	chr6	3.0	3.3244
HGNC:4927	chr6	5.0	17.147
HGNC:1607	chr6	5.0	10.073
HGNC:12570	chr6	21.0	17.754
HGNC:10966	chr6	21.0	26.21
HGNC:8919	chr6	2.0	31.027
HGNC:21101	chr6	10.0	10.057
HGNC:19152	chr6	12.0	15.627
HGNC:21100	chr6	3.0	17.734
HGNC:21233	chr6	27.0	22.17
HGNC:8772	chr6	4.0	42.969
HGNC:6967	chr6	2.0	8.5785
HGNC:11753	chr6	3.0	20.633
HGNC:20323	chr6	9.0	25.253
HGNC:1585	chr6	0.0	12.477
HGNC:1157	chr6	10.0	21.04
HGNC:21109	chr6	24.0	45.032
HGNC:11588	chr6	7.0	21.236
HGNC:4679	chr6	7.0	10.576
HGNC:9942	chr6	4.0	13.762
HGNC:21111	chr6	0.0	41.749
HGNC:9312	chr6	2.0	35.876
HGNC:14056	chr6	13.0	18.012
HGNC:9618	chr6	8.0	52.546
HGNC:11291	chr6	1.0	15.806
HGNC:15982	chr6	25.0	124.64
HGNC:21218	chr6	3.0	6.0852
HGNC:16077	chr6	5.0	11.255
HGNC:24968	chr6	25.0	59.191
HGNC:2288	chr6	4.0	5.7355
HGNC:16667	chr6	7.0	17.085
HGNC:4369	chr6	2.0	23.039
HGNC:20944	chr6	7.0	61.258
HGNC:6055	chr6	43.0	40.961
HGNC:12680	chr6	11.0	21.67
HGNC:17346	chr6	4.0	53.731
HGNC:12401	chr6	15.0	49.87
HGNC:11003	chr6	3.0	20.675
HGNC:12771	chr6	8.0	17.132
HGNC:1136	chr6	27.0	19.694
HGNC:6484	chr6	54.0	92.778
HGNC:18345	chr6	1.0	12.673
HGNC:13517	chr6	11.0	15.503
HGNC:29308	chr12	9.0	27.522
HGNC:13717	chr6	15.0	15.654
HGNC:16837	chr6	7.0	6.9741
HGNC:9480	chr6	15.0	28.371
HGNC:7015	chr6	25.0	38.011
HGNC:11595	chr6	1.0	24.565
HGNC:15842	chr5	12.0	68.135
HGNC:8687	chr5	12.0	17.369
HGNC:4817	chr5	12.0	26.428
HGNC:18826	chr5	17.0	19.184
HGNC:25547	chr5	29.0	29.221
HGNC:6824	chr5	27.0	60.327
HGNC:10736	chr5	20.0	60.109
HGNC:1346	chr5	29.0	43.763
HGNC:16705	chr5	1.0	25.558
HGNC:4263	chr5	12.0	29.384
HGNC:5007	chr5	1.0	22.914
HGNC:2672	chr5	4.0	5.2725
HGNC:7853	chr5	6.0	9.2114
HGNC:19874	chr5	24.0	65.461
HGNC:9787	chr5	29.0	53.429
HGNC:7863	chr5	8.0	46.38
HGNC:8769	chr5	15.0	20.936
HGNC:5244	chr5	6.0	37.169
HGNC:14512	chr5	13.0	23.753
HGNC:8866	chr5	0.0	6.1753
HGNC:3059	chr5	3.0	8.2247
HGNC:11035	chr5	37.0	43.675
HGNC:6664	chr5	2.0	22.093
HGNC:4711	chr5	5.0	10.912
HGNC:1768	chr5	6.0	32.275
HGNC:20708	chr5	19.0	28.617
HGNC:28814	chr5	18.0	26.775
HGNC:11219	chr5	2.0	16.001
HGNC:5958	chr5	17.0	42.005
HGNC:5006	chr5	6.0	45.596
HGNC:2205	chr5	9.0	43.092
HGNC:24666	chr5	2.0	29.16
HGNC:4807	chr5	2.0	5.0898
HGNC:8688	chr5	12.0	14.992
HGNC:8690	chr5	11.0	16.3
HGNC:8691	chr5	16.0	17.716
HGNC:8692	chr5	23.0	17.607
HGNC:8794	chr5	5.0	42.194
HGNC:13659	chr5	12.0	28.558
HGNC:8686	chr5	18.0	19.793
HGNC:17866	chr5	11.0	14.414
HGNC:4598	chr5	28.0	32.807
HGNC:6171	chr5	19.0	39.137
HGNC:18280	chr5	9.0	19.607
HGNC:26053	chr5	9.0	15.221
HGNC:714	chr5	16.0	22.89
HGNC:23186	chr5	7.0	32.795
HGNC:11788	chr5	36.0	51.569
HGNC:14099	chr5	8.0	26.353
HGNC:5970	chr5	9.0	17.089
HGNC:26131	chr5	10.0	16.246
HGNC:12391	chr5	11.0	16.359
HGNC:7326	chr5	49.0	53.7
HGNC:9876	chr5	16.0	67.513
HGNC:4087	chr5	5.0	26.374
HGNC:1592	chr5	7.0	13.31
HGNC:30075	chr5	14.0	12.293
HGNC:17904	chr5	20.0	83.653
HGNC:1765	chr5	7.0	38.934
HGNC:6637	chr5	6.0	28.595
HGNC:29263	chr5	2.0	21.977
HGNC:15452	chr5	3.0	11.658
HGNC:19985	chr5	0.0	7.2326
HGNC:7945	chr5	12.0	23.731
HGNC:25365	chr5	10.0	23.411
HGNC:11000	chr5	27.0	26.915
HGNC:11572	chr5	27.0	46.725
HGNC:6129	chr5	6.0	16.125
HGNC:6656	chr5	7.0	53.163
HGNC:8783	chr5	3.0	37.581
HGNC:9806	chr5	8.0	13.175
HGNC:24170	chr5	3.0	17.413
HGNC:14412	chr5	37.0	28.653
HGNC:9446	chr5	3.0	26.423
HGNC:10915	chr5	35.0	52.43
HGNC:6014	chr5	4.0	5.8246
HGNC:9816	chr5	54.0	77.621
HGNC:6016	chr5	4.0	6.1646
HGNC:10871	chr5	8.0	16.017
HGNC:4417	chr5	11.0	12.065
HGNC:8657	chr5	25.0	35.624
HGNC:10899	chr5	2.0	9.0229
HGNC:8063	chr5	18.0	82.615
HGNC:9299	chr5	1.0	18.064
HGNC:3665	chr5	1.0	5.4892
HGNC:7978	chr5	5.0	32.854
HGNC:20656	chr5	3.0	7.1631
HGNC:28954	chr5	13.0	31.785
HGNC:6597	chr5	31.0	59.268
HGNC:660	chr5	12.0	33.502
HGNC:25828	chr5	8.0	20.718
HGNC:1358	chr5	34.0	29.895
HGNC:10703	chr5	24.0	57.771
HGNC:20652	chr5	6.0	15.65
HGNC:29959	chr5	7.0	12.708
HGNC:9870	chr5	18.0	34.842
HGNC:29435	chr5	19.0	64.371
HGNC:4740	chr5	2.0	13.13
HGNC:15630	chr5	8.0	63.674
HGNC:3015	chr5	2.0	28.516
HGNC:6771	chr5	0.0	18.719
HGNC:2451	chr5	1.0	22.057
HGNC:28982	chr5	7.0	50.895
HGNC:29205	chr5	3.0	16.406
HGNC:8804	chr5	11.0	56.052
HGNC:1805	chr5	2.0	5.8038
HGNC:863	chr5	1.0	5.017
HGNC:1082	chr5	11.0	14.62
HGNC:11374	chr5	3.0	12.081
HGNC:21747	chr5	5.0	34.887
HGNC:5183	chr5	3.0	9.5629
HGNC:2695	chr5	4.0	34.76
HGNC:16403	chr5	4.0	13.786
HGNC:12567	chr5	3.0	38.01
HGNC:3247	chr3	19.0	28.683
HGNC:2173	chr3	18.0	51.975
HGNC:14013	chr3	20.0	60.341
HGNC:30394	chr3	6.0	6.2084
HGNC:14672	chr3	28.0	38.861
HGNC:25546	chr3	9.0	24.592
HGNC:1321	chr3	14.0	17.253
HGNC:30185	chr3	11.0	28.268
HGNC:6383	chr3	20.0	31.53
HGNC:5181	chr3	20.0	19.42
HGNC:1001	chr3	4.0	27.713
HGNC:4892	chr3	16.0	25.973
HGNC:2037	chr3	5.0	13.884
HGNC:13210	chr3	5.0	11.461
HGNC:7907	chr3	38.0	76.712
HGNC:1705	chr3	1.0	13.767
HGNC:17812	chr3	9.0	36.703
HGNC:29878	chr3	23.0	17.992
HGNC:17865	chr3	9.0	10.233
HGNC:8125	chr3	19.0	21.466
HGNC:6394	chr3	3.0	31.639
HGNC:8654	chr3	17.0	28.517
HGNC:12496	chr15	3.0	37.561
HGNC:24999	chr3	3.0	45.133
HGNC:29972	chr3	28.0	38.59
HGNC:9920	chr3	2.0	7.1164
HGNC:9919	chr3	8.0	8.1138
HGNC:25554	chr3	5.0	14.633
HGNC:17031	chr3	14.0	18.068
HGNC:10070	chr3	3.0	6.1412
HGNC:11751	chr3	1.0	26.273
HGNC:30654	chr3	12.0	98.593
HGNC:8638	chr3	8.0	49.044
HGNC:983	chr3	21.0	22.755
HGNC:8945	chr3	21.0	19.722
HGNC:8761	chr3	1.0	14.599
HGNC:26261	chr3	13.0	23.857
HGNC:12784	chr3	1.0	17.605
HGNC:8875	chr3	18.0	27.903
HGNC:2214	chr3	100.0	198.6
HGNC:3668	chr3	2.0	11.722
HGNC:9391	chr3	6.0	22.646
HGNC:5192	chr3	1.0	8.3465
HGNC:12627	chr3	24.0	53.242
HGNC:16469	chr3	10.0	52.295
HGNC:3155	chr3	24.0	51.396
HGNC:4393	chr3	18.0	17.209
HGNC:4385	chr3	2.0	16.014
HGNC:11758	chr3	6.0	23.167
HGNC:5320	chr3	8.0	14.191
HGNC:17034	chr3	0.0	4.8246
HGNC:24969	chr3	5.0	22.381
HGNC:10325	chr3	2.0	11.933
HGNC:30253	chr3	7.0	9.7515
HGNC:25024	chr3	7.0	6.5234
HGNC:4023	chr3	1.0	39.735
HGNC:1542	chr3	7.0	49.382
HGNC:14422	chr3	10.0	45.832
HGNC:17367	chr3	18.0	24.364
HGNC:20731	chr3	8.0	20.674
HGNC:4905	chr3	12.0	19.336
HGNC:25251	chr3	28.0	22.221
HGNC:4180	chr3	24.0	34.716
HGNC:7198	chr3	20.0	57.535
HGNC:12563	chr3	9.0	16.877
HGNC:7659	chr3	2.0	9.3211
HGNC:11175	chr3	17.0	31.919
HGNC:26255	chr3	6.0	5.8527
HGNC:24886	chr3	14.0	62.787
HGNC:31046	chr3	21.0	23.508
HGNC:31927	chr3	8.0	9.8459
HGNC:9099	chr3	15.0	88.063
HGNC:851	chr3	6.0	33.043
HGNC:18275	chr3	12.0	25.713
HGNC:17936	chr3	0.0	21.231
HGNC:12578	chr3	13.0	15.233
HGNC:2467	chr3	5.0	16.064
HGNC:29120	chr3	7.0	25.819
HGNC:30634	chr3	20.0	55.653
HGNC:25692	chr3	13.0	17.488
HGNC:29231	chr3	15.0	17.218
HGNC:18593	chr3	34.0	36.985
HGNC:10379	chr3	19.0	20.203
HGNC:16497	chr3	11.0	15.792
HGNC:24923	chr3	15.0	22.356
HGNC:1984	chr3	6.0	8.7812
HGNC:6888	chr3	16.0	21.795
HGNC:174	chr3	5.0	27.916
HGNC:30914	chr3	4.0	42.667
HGNC:24993	chr3	12.0	9.9235
HGNC:16769	chr3	6.0	17.547
HGNC:30024	chr3	11.0	37.163
HGNC:16829	chr3	7.0	29.961
HGNC:56	chr3	20.0	75.085
HGNC:17	chr3	6.0	12.54
HGNC:28235	chr3	6.0	6.5799
HGNC:30792	chr3	1.0	6.084
HGNC:38856	chr3	19.0	26.586
HGNC:24490	chr3	27.0	37.621
HGNC:25947	chr3	9.0	24.151
HGNC:29185	chr3	17.0	75.386
HGNC:12694	chr3	35.0	26.633
HGNC:2940	chr3	83.0	208.53
HGNC:11325	chr3	1.0	8.8815
HGNC:26955	chr3	0.0	24.77
HGNC:11943	chr3	1.0	7.9896
HGNC:7833	chr3	15.0	75.063
HGNC:2020	chr3	26.0	46.901
HGNC:3823	chr3	3.0	44.271
HGNC:3296	chr3	2.0	84.707
HGNC:23401	chr3	4.0	8.1078
HGNC:11399	chr3	43.0	48.049
HGNC:11029	chr2	18.0	50.683
HGNC:25997	chr2	4.0	40.216
HGNC:3208	chr2	4.0	12.153
HGNC:202	chr2	8.0	52.432
HGNC:2858	chr2	12.0	16.309
HGNC:16015	chr2	0.0	9.4827
HGNC:25473	chr2	2.0	39.323
HGNC:19263	chr2	18.0	20.612
HGNC:10466	chr2	14.0	29.003
HGNC:21586	chr2	4.0	17.616
HGNC:5991	chr2	7.0	10.028
HGNC:10619	chr2	5.0	4.3104
HGNC:23785	chr2	35.0	119.21
HGNC:15523	chr2	5.0	14.946
HGNC:24252	chr2	11.0	15.182
HGNC:7667	chr2	2.0	35.632
HGNC:168	chr2	9.0	22.965
HGNC:23617	chr2	17.0	30.649
HGNC:12858	chr2	5.0	28.849
HGNC:170	chr2	0.0	25.202
HGNC:24592	chr2	14.0	16.282
HGNC:19819	chr2	13.0	48.573
HGNC:17925	chr2	1.0	33.167
HGNC:19373	chr2	15.0	13.758
HGNC:30290	chr2	7.0	14.706
HGNC:9201	chr2	7.0	9.4564
HGNC:11358	chr2	13.0	28.205
HGNC:8515	chr2	76.0	105.09
HGNC:4456	chr2	22.0	36.517
HGNC:1851	chr2	4.0	7.6734
HGNC:9506	chr2	8.0	20.379
HGNC:171	chr2	6.0	26.058
HGNC:29364	chr2	24.0	78.654
HGNC:11014	chr2	3.0	15.233
HGNC:7224	chr2	14.0	11.622
HGNC:4665	chr2	10.0	59.494
HGNC:3260	chr2	4.0	27.768
HGNC:7993	chr2	1.0	35.237
HGNC:6161	chr2	35.0	37.606
HGNC:20239	chr2	1.0	11.32
HGNC:6140	chr2	18.0	56.31
HGNC:16889	chr2	1.0	15.94
HGNC:14979	chr2	10.0	29.293
HGNC:16013	chr2	15.0	25.691
HGNC:9278	chr2	4.0	27.713
HGNC:8774	chr2	9.0	29.77
HGNC:30078	chr19	8.0	9.5699
HGNC:8746	chr19	24.0	35.015
HGNC:4191	chr2	4.0	10.399
HGNC:24036	chr19	7.0	58.469
HGNC:18873	chr2	59.0	47.326
HGNC:10388	chr19	0.0	5.8938
HGNC:15990	chr2	8.0	13.438
HGNC:13324	chr2	2.0	13.436
HGNC:24862	chr2	21.0	31.607
HGNC:25759	chr2	25.0	26.608
HGNC:7714	chr19	1.0	12.29
HGNC:17615	chr2	0.0	17.193
HGNC:4565	chr2	8.0	29.122
HGNC:26108	chr2	17.0	32.022
HGNC:5057	chr2	2.0	7.5914
HGNC:11275	chr2	5.0	119.37
HGNC:891	chr2	10.0	22.297
HGNC:14085	chr2	8.0	36.323
HGNC:14348	chr2	7.0	17.385
HGNC:13869	chr2	27.0	43.28
HGNC:2990	chr2	6.0	18.625
HGNC:4125	chr2	18.0	30.939
HGNC:18755	chr2	5.0	5.8656
HGNC:11526	chr2	8.0	15.906
HGNC:25523	chr2	7.0	100.76
HGNC:88	chr2	21.0	26.025
HGNC:25816	chr2	2.0	3.8752
HGNC:14052	chr2	5.0	14.252
HGNC:6508	chr2	19.0	22.666
HGNC:25725	chr2	17.0	47.165
HGNC:3218	chr2	1.0	31.022
HGNC:9951	chr2	8.0	9.2431
HGNC:20748	chr2	31.0	25.875
HGNC:3778	chr2	34.0	133.91
HGNC:11362	chr2	4.0	48.926
HGNC:4331	chr2	6.0	36.614
HGNC:14982	chr2	6.0	44.486
HGNC:2951	chr2	94.0	194.69
HGNC:18281	chr2	13.0	16.048
HGNC:16046	chr2	8.0	14.269
HGNC:5471	chr2	3.0	9.4968
HGNC:26158	chr2	22.0	19.491
HGNC:5474	chr2	0.0	10.257
HGNC:20066	chr2	11.0	200.18
HGNC:29556	chr2	4.0	5.9832
HGNC:6259	chr2	5.0	12.236
HGNC:1617	chr2	2.0	28.921
HGNC:4247	chr2	28.0	41.274
HGNC:7759	chr2	17.0	11.151
HGNC:29144	chr2	16.0	69.929
HGNC:8521	chr2	1.0	10.714
HGNC:24110	chr2	2.0	9.0682
HGNC:25819	chr2	3.0	12.454
HGNC:4414	chr2	11.0	8.7438
HGNC:10768	chr2	1.0	72.129
HGNC:10872	chr2	8.0	19.104
HGNC:19650	chr2	9.0	16.529
HGNC:28860	chr2	9.0	11.616
HGNC:17261	chr2	1.0	12.922
HGNC:5269	chr2	0.0	5.3855
HGNC:20815	chr2	9.0	71.724
HGNC:9062	chr2	27.0	41.501
HGNC:29865	chr2	6.0	13.345
HGNC:12927	chr2	34.0	57.174
HGNC:5994	chr2	20.0	16.994
HGNC:9387	chr2	20.0	24.419
HGNC:20986	chr2	14.0	22.519
HGNC:5993	chr2	6.0	23.396
HGNC:12785	chr2	5.0	12.715
HGNC:5999	chr2	21.0	30.585
HGNC:5998	chr2	21.0	25.789
HGNC:5988	chr2	12.0	23.328
HGNC:5989	chr2	10.0	29.264
HGNC:11072	chr2	12.0	38.368
HGNC:3703	chr2	9.0	13.886
HGNC:29643	chr2	20.0	32.286
HGNC:25220	chr2	16.0	23.053
HGNC:17729	chr2	9.0	25.655
HGNC:47	chr2	35.0	47.481
HGNC:11394	chr2	9.0	17.172
HGNC:14025	chr2	8.0	25.686
HGNC:4857	chr2	4.0	59.496
HGNC:9295	chr2	1.0	19.894
HGNC:17270	chr2	40.0	53.949
HGNC:11404	chr2	7.0	24.648
HGNC:12015	chr2	36.0	42.93
HGNC:9451	chr2	11.0	21.07
HGNC:5361	chr2	0.0	3.6015
HGNC:11533	chr2	27.0	36.337
HGNC:5145	chr2	0.0	7.1938
HGNC:8109	chr2	5.0	19.353
HGNC:13516	chr2	14.0	210.3
HGNC:25862	chr2	11.0	42.218
HGNC:19236	chr2	16.0	16.583
HGNC:17500	chr2	3.0	20.206
HGNC:11424	chr2	9.0	43.016
HGNC:24218	chr2	17.0	44.586
HGNC:9408	chr2	13.0	44.87
HGNC:25784	chr2	15.0	28.154
HGNC:9753	chr2	22.0	20.445
HGNC:17063	chr2	23.0	60.867
HGNC:10982	chr2	9.0	37.789
